"Federal Provider Number","Provider State","Percent Vaccinated Residents","Percent Vaccinated Healthcare Personnel","Date vaccination data last updated"
"155207","IN","84.8","93.9","12/12/2021"
"155208","IN","98.8","61.0","12/12/2021"
"155209","IN","82.7","76.9","12/12/2021"
"155210","IN","93.9","74.6","12/12/2021"
"155211","IN","88.4","82.6","12/12/2021"
"155214","IN","82.6","100.0","12/12/2021"
"155215","IN","88.6","70.9","12/12/2021"
"155217","IN","88.9","69.0","12/12/2021"
"155218","IN","81.7","53.8","12/12/2021"
"155219","IN","88.2","83.3","12/12/2021"
"155220","IN","71.2","75.9","12/12/2021"
"155221","IN","94.0","89.3","12/12/2021"
"155222","IN","91.5","86.6","12/12/2021"
"155223","IN","87.2","69.8","12/12/2021"
"155224","IN","89.2","74.8","12/12/2021"
"155226","IN","77.2","72.4","12/12/2021"
"155228","IN","86.7","88.3","12/12/2021"
"155229","IN","85.9","63.9","12/12/2021"
"155230","IN","96.2","67.6","12/12/2021"
"155231","IN","81.3","53.8","12/12/2021"
"155232","IN","90.0","53.4","12/12/2021"
"155233","IN","69.5","30.6","12/12/2021"
"155234","IN","83.7","69.8","12/12/2021"
"155235","IN","87.1","44.2","12/12/2021"
"155236","IN","94.3","64.9","12/12/2021"
"155237","IN","90.1","76.5","12/12/2021"
"155238","IN","98.0","71.7","12/12/2021"
"155241","IN","96.5","42.4","12/12/2021"
"155242","IN","91.4","54.4","12/12/2021"
"155243","IN","79.6","92.9","12/12/2021"
"155245","IN","79.5","83.3","12/12/2021"
"155246","IN","92.8","68.0","12/12/2021"
"155247","IN","66.7","91.9","12/12/2021"
"155248","IN","86.4","62.8","12/12/2021"
"155249","IN","83.5","70.6","12/12/2021"
"155251","IN","90.2","85.5","12/12/2021"
"155252","IN","96.8","76.7","12/12/2021"
"155254","IN","85.1","93.2","12/12/2021"
"155255","IN","71.7","58.0","12/12/2021"
"155258","IN","64.9","56.6","12/12/2021"
"155262","IN","98.1","74.0","12/12/2021"
"155263","IN","81.8","77.8","12/12/2021"
"155264","IN","86.4","57.4","12/12/2021"
"155265","IN","80.4","73.9","12/12/2021"
"155266","IN","69.0","84.3","12/12/2021"
"155267","IN","96.6","84.4","12/12/2021"
"155269","IN","87.8","70.9","12/12/2021"
"155270","IN","92.3","59.6","12/12/2021"
"155271","IN","90.8","76.6","12/12/2021"
"155272","IN","66.0","63.2","12/12/2021"
"155273","IN","87.3","76.0","12/12/2021"
"155274","IN","88.6","54.3","12/12/2021"
"155275","IN","78.9","72.0","12/12/2021"
"155278","IN","88.8","58.9","12/12/2021"
"155280","IN","85.0","78.0","12/12/2021"
"155282","IN","90.5","69.3","12/12/2021"
"155283","IN","92.9","64.0","12/12/2021"
"155286","IN","94.3","71.0","12/12/2021"
"155287","IN","80.6","83.7","12/12/2021"
"155289","IN","91.8","69.4","12/12/2021"
"155290","IN","64.8","78.0","12/12/2021"
"155291","IN","89.7","73.4","12/12/2021"
"155292","IN","94.5","53.8","12/12/2021"
"155295","IN","90.0","84.7","12/12/2021"
"155297","IN","89.6","62.2","12/12/2021"
"155299","IN","85.0","91.1","12/12/2021"
"155303","IN","70.0","81.0","12/12/2021"
"155304","IN","71.7","34.4","12/12/2021"
"155305","IN","84.6","89.9","12/12/2021"
"155312","IN","95.1","70.1","12/12/2021"
"155319","IN","96.8","77.6","12/12/2021"
"155321","IN","88.2","52.8","12/12/2021"
"155322","IN","87.6","97.4","12/12/2021"
"155324","IN","78.6","86.3","12/12/2021"
"155325","IN","84.9","72.0","12/12/2021"
"155327","IN","74.8","56.5","12/12/2021"
"155328","IN","86.8","80.0","12/12/2021"
"155329","IN","92.1","77.5","12/12/2021"
"155330","IN","90.6","80.5","12/12/2021"
"155331","IN","88.5","74.3","12/12/2021"
"155332","IN","86.7","58.4","12/12/2021"
"155333","IN","83.0","94.7","12/12/2021"
"155334","IN","72.0","68.3","12/12/2021"
"155335","IN","86.7","60.7","12/12/2021"
"155336","IN","94.6","55.4","12/12/2021"
"155338","IN","72.5","98.5","12/12/2021"
"155341","IN","84.6","73.8","12/12/2021"
"155342","IN","78.7","86.2","12/12/2021"
"155343","IN","90.7","68.4","12/12/2021"
"155344","IN","80.5","80.2","12/12/2021"
"155348","IN","85.5","80.0","12/12/2021"
"155349","IN","93.5","65.1","12/12/2021"
"155352","IN","92.3","57.9","12/12/2021"
"155353","IN","88.0","77.3","12/12/2021"
"155354","IN","97.0","77.5","12/12/2021"
"155355","IN","86.7","85.5","12/12/2021"
"155357","IN","94.1","67.9","12/12/2021"
"155358","IN","93.0","94.3","12/12/2021"
"155359","IN","55.4","88.4","12/12/2021"
"155361","IN","87.0","62.7","12/12/2021"
"155362","IN","81.7","60.3","12/12/2021"
"155363","IN","84.0","71.8","12/12/2021"
"155364","IN","95.6","63.4","12/12/2021"
"155367","IN","80.0","55.6","12/12/2021"
"155368","IN","100.0","92.7","12/12/2021"
"155370","IN","Not Available","Not Available","12/12/2021"
"155374","IN","80.0","70.0","12/12/2021"
"155375","IN","72.2","62.2","12/12/2021"
"155376","IN","100.0","89.3","12/12/2021"
"155377","IN","88.9","88.8","12/12/2021"
"155378","IN","90.9","70.6","12/12/2021"
"155379","IN","83.9","60.0","12/12/2021"
"155381","IN","82.8","57.9","12/12/2021"
"155383","IN","73.0","74.6","12/12/2021"
"155384","IN","92.6","75.5","12/12/2021"
"155385","IN","69.0","61.4","12/12/2021"
"155386","IN","91.2","44.7","12/12/2021"
"155387","IN","86.0","49.2","12/12/2021"
"155388","IN","83.9","63.8","12/12/2021"
"155389","IN","65.9","56.8","12/12/2021"
"155390","IN","70.0","63.3","12/12/2021"
"155392","IN","95.2","58.3","12/12/2021"
"155400","IN","80.4","94.6","12/12/2021"
"155401","IN","90.5","63.0","12/12/2021"
"155402","IN","91.4","77.7","12/12/2021"
"155404","IN","88.5","46.7","12/12/2021"
"155406","IN","87.5","90.0","12/12/2021"
"155409","IN","96.8","60.9","12/12/2021"
"155412","IN","85.9","42.7","12/12/2021"
"155417","IN","92.6","66.7","12/12/2021"
"155419","IN","90.0","72.1","12/12/2021"
"155423","IN","88.5","68.8","12/12/2021"
"155424","IN","88.2","63.9","12/12/2021"
"155426","IN","78.2","61.8","12/12/2021"
"155427","IN","97.1","85.7","12/12/2021"
"155430","IN","96.3","40.0","12/12/2021"
"155432","IN","97.2","46.5","12/12/2021"
"155434","IN","88.9","74.1","12/12/2021"
"155436","IN","92.9","58.8","12/12/2021"
"155442","IN","90.6","71.1","12/12/2021"
"155443","IN","60.4","57.7","12/12/2021"
"155446","IN","80.2","94.8","12/12/2021"
"155448","IN","97.5","77.4","12/12/2021"
"155449","IN","85.1","57.9","12/12/2021"
"155455","IN","84.3","55.7","12/12/2021"
"155459","IN","81.8","59.4","12/12/2021"
"155461","IN","85.4","76.0","12/12/2021"
"155462","IN","81.3","65.2","12/12/2021"
"155468","IN","86.2","62.2","12/12/2021"
"155469","IN","91.1","76.9","12/12/2021"
"155471","IN","98.1","90.2","12/12/2021"
"155472","IN","98.0","93.5","12/12/2021"
"155473","IN","82.6","50.0","12/12/2021"
"155474","IN","95.2","62.8","12/12/2021"
"155475","IN","100.0","94.5","12/12/2021"
"155477","IN","88.4","69.1","12/12/2021"
"155478","IN","92.0","65.5","12/12/2021"
"155479","IN","88.8","68.8","12/12/2021"
"155480","IN","93.5","46.6","12/12/2021"
"155481","IN","83.2","68.3","12/12/2021"
"155482","IN","69.0","58.8","12/12/2021"
"155483","IN","93.5","75.0","12/12/2021"
"155484","IN","86.9","77.9","12/12/2021"
"155486","IN","92.9","70.3","12/12/2021"
"155487","IN","84.8","54.7","12/12/2021"
"155488","IN","82.4","60.9","12/12/2021"
"155489","IN","82.5","54.1","12/12/2021"
"155490","IN","88.0","69.3","12/12/2021"
"155491","IN","70.1","73.2","12/12/2021"
"155493","IN","98.6","88.2","12/12/2021"
"155494","IN","70.6","68.8","12/12/2021"
"155495","IN","80.4","85.1","12/12/2021"
"155496","IN","83.1","44.0","12/12/2021"
"155502","IN","65.1","65.1","12/12/2021"
"155503","IN","77.6","63.8","12/12/2021"
"155505","IN","97.7","100.0","12/12/2021"
"155506","IN","86.5","78.0","12/12/2021"
"155507","IN","72.2","51.2","12/12/2021"
"155508","IN","83.3","66.7","12/12/2021"
"155510","IN","76.9","55.0","12/12/2021"
"155512","IN","92.5","78.1","12/12/2021"
"155519","IN","86.7","81.1","12/12/2021"
"155520","IN","Not Available","Not Available","12/12/2021"
"155521","IN","97.3","63.5","12/12/2021"
"155522","IN","96.4","89.1","12/12/2021"
"155523","IN","89.5","73.9","12/12/2021"
"155524","IN","81.4","56.1","12/12/2021"
"155525","IN","94.4","61.4","12/12/2021"
"155526","IN","90.6","39.5","12/12/2021"
"155527","IN","98.0","56.2","12/12/2021"
"155530","IN","75.6","79.7","12/12/2021"
"155531","IN","72.4","60.3","12/12/2021"
"155532","IN","Not Available","Not Available","12/12/2021"
"155535","IN","86.9","60.9","12/12/2021"
"155539","IN","100.0","72.5","12/12/2021"
"155542","IN","89.4","76.2","12/12/2021"
"155543","IN","90.9","90.0","12/12/2021"
"155546","IN","90.9","52.1","12/12/2021"
"155549","IN","94.6","53.6","12/12/2021"
"155551","IN","90.5","52.9","12/12/2021"
"155556","IN","92.2","56.8","12/12/2021"
"155557","IN","91.1","73.5","12/12/2021"
"155561","IN","90.7","61.3","12/12/2021"
"155564","IN","98.4","68.7","12/12/2021"
"155565","IN","90.0","84.1","12/12/2021"
"155566","IN","Not Available","Not Available","12/12/2021"
"155567","IN","74.7","77.9","12/12/2021"
"155568","IN","76.1","67.8","12/12/2021"
"155570","IN","100.0","71.7","12/12/2021"
"155571","IN","100.0","65.5","12/12/2021"
"155572","IN","67.2","76.5","12/12/2021"
"155573","IN","84.0","45.3","12/12/2021"
"155574","IN","100.0","59.1","12/12/2021"
"155576","IN","90.7","67.2","12/12/2021"
"155578","IN","93.5","78.4","12/12/2021"
"155579","IN","90.2","64.2","12/12/2021"
"155580","IN","48.1","71.4","12/12/2021"
"155581","IN","90.2","60.9","12/12/2021"
"155582","IN","85.1","63.8","12/12/2021"
"155583","IN","88.0","59.1","12/12/2021"
"155586","IN","92.2","67.9","12/12/2021"
"155587","IN","100.0","84.8","12/12/2021"
"155589","IN","95.0","64.8","12/12/2021"
"155593","IN","93.3","88.8","12/12/2021"
"155596","IN","91.2","49.0","12/12/2021"
"155600","IN","98.1","71.3","12/12/2021"
"155604","IN","92.3","68.4","12/12/2021"
"155605","IN","85.4","41.2","12/12/2021"
"155606","IN","93.9","83.8","12/12/2021"
"155607","IN","87.1","82.5","12/12/2021"
"155608","IN","88.1","90.9","12/12/2021"
"155611","IN","86.4","76.6","12/12/2021"
"155614","IN","89.2","74.3","12/12/2021"
"155617","IN","90.9","61.8","12/12/2021"
"155618","IN","100.0","100.0","12/12/2021"
"155620","IN","85.2","85.6","12/12/2021"
"155621","IN","87.3","64.3","12/12/2021"
"155625","IN","92.6","66.7","12/12/2021"
"155627","IN","84.0","69.4","12/12/2021"
"155628","IN","79.6","69.3","12/12/2021"
"155630","IN","91.7","62.3","12/12/2021"
"155631","IN","95.0","96.2","12/12/2021"
"155632","IN","96.5","90.4","12/12/2021"
"155635","IN","83.7","45.4","12/12/2021"
"155636","IN","96.8","74.0","12/12/2021"
"155637","IN","97.7","91.3","12/12/2021"
"155649","IN","82.2","74.4","12/12/2021"
"155650","IN","84.4","69.8","12/12/2021"
"155651","IN","88.9","58.4","12/12/2021"
"155653","IN","84.0","81.2","12/12/2021"
"155654","IN","83.3","40.0","12/12/2021"
"155655","IN","77.4","49.6","12/12/2021"
"155656","IN","89.6","76.9","12/12/2021"
"155657","IN","74.7","60.9","12/12/2021"
"155658","IN","98.7","88.4","12/12/2021"
"155659","IN","82.6","55.6","12/12/2021"
"155660","IN","84.2","61.2","12/12/2021"
"155661","IN","86.3","80.8","12/12/2021"
"155662","IN","85.0","79.2","12/12/2021"
"155665","IN","83.2","87.8","12/12/2021"
"155666","IN","73.8","74.7","12/12/2021"
"155667","IN","87.8","55.5","12/12/2021"
"155668","IN","82.4","62.5","12/12/2021"
"155670","IN","74.1","88.2","12/12/2021"
"155671","IN","90.9","81.9","12/12/2021"
"155672","IN","Not Available","Not Available","12/12/2021"
"155673","IN","86.9","64.1","12/12/2021"
"155674","IN","84.1","71.3","12/12/2021"
"155675","IN","95.3","97.5","12/12/2021"
"155676","IN","96.6","79.5","12/12/2021"
"155677","IN","91.9","93.8","12/12/2021"
"155678","IN","90.0","70.6","12/12/2021"
"155679","IN","91.2","82.0","12/12/2021"
"155680","IN","75.6","89.4","12/12/2021"
"155681","IN","90.1","82.1","12/12/2021"
"155682","IN","81.8","87.0","12/12/2021"
"155684","IN","98.0","84.3","12/12/2021"
"155685","IN","83.8","58.2","12/12/2021"
"155686","IN","70.5","51.4","12/12/2021"
"155687","IN","87.1","48.9","12/12/2021"
"155688","IN","100.0","78.7","12/12/2021"
"155689","IN","94.3","64.4","12/12/2021"
"155690","IN","83.8","37.9","12/12/2021"
"155691","IN","83.9","36.2","12/12/2021"
"155692","IN","96.4","58.8","12/12/2021"
"155693","IN","87.5","84.4","12/12/2021"
"155694","IN","87.8","81.2","12/12/2021"
"155695","IN","85.9","52.4","12/12/2021"
"155696","IN","81.0","80.0","12/12/2021"
"155697","IN","89.6","69.2","12/12/2021"
"155698","IN","80.4","64.8","12/12/2021"
"155699","IN","82.4","49.2","12/12/2021"
"155700","IN","94.0","50.0","12/12/2021"
"155701","IN","Not Available","Not Available","12/12/2021"
"155702","IN","84.3","65.9","12/12/2021"
"155703","IN","89.3","44.4","12/12/2021"
"155704","IN","80.0","83.6","12/12/2021"
"155705","IN","97.6","56.5","12/12/2021"
"155707","IN","92.6","42.1","12/12/2021"
"155708","IN","85.3","39.0","12/12/2021"
"155710","IN","96.7","70.0","12/12/2021"
"155712","IN","87.5","90.5","12/12/2021"
"155714","IN","80.0","60.5","12/12/2021"
"155715","IN","94.7","83.2","12/12/2021"
"155716","IN","93.5","88.4","12/12/2021"
"155717","IN","Not Available","Not Available","12/12/2021"
"155718","IN","81.6","82.1","12/12/2021"
"155719","IN","69.4","29.3","12/12/2021"
"155720","IN","89.1","77.8","12/12/2021"
"155723","IN","57.9","85.7","12/12/2021"
"155724","IN","85.5","89.5","12/12/2021"
"155725","IN","96.4","100.0","12/12/2021"
"155726","IN","96.0","48.6","12/12/2021"
"155727","IN","86.0","79.7","12/12/2021"
"155728","IN","74.4","47.3","12/12/2021"
"155729","IN","95.1","51.5","12/12/2021"
"155730","IN","93.5","56.4","12/12/2021"
"155732","IN","88.5","87.5","12/12/2021"
"155733","IN","96.7","51.1","12/12/2021"
"155734","IN","82.6","79.7","12/12/2021"
"155735","IN","83.3","88.5","12/12/2021"
"155736","IN","85.4","83.8","12/12/2021"
"155738","IN","86.5","53.7","12/12/2021"
"155740","IN","97.7","66.1","12/12/2021"
"155741","IN","100.0","73.1","12/12/2021"
"155742","IN","85.7","76.7","12/12/2021"
"155743","IN","88.6","75.5","12/12/2021"
"155744","IN","92.1","63.0","12/12/2021"
"155745","IN","100.0","93.1","12/12/2021"
"155746","IN","87.5","60.4","12/12/2021"
"155747","IN","95.3","50.3","12/12/2021"
"155751","IN","91.8","71.6","12/12/2021"
"155753","IN","89.7","87.0","12/12/2021"
"155754","IN","96.6","79.7","12/12/2021"
"155755","IN","95.7","49.4","12/12/2021"
"155756","IN","81.1","77.7","12/12/2021"
"155757","IN","92.5","81.9","12/12/2021"
"155758","IN","92.5","58.8","12/12/2021"
"155759","IN","88.2","81.7","12/12/2021"
"155760","IN","80.0","83.7","12/12/2021"
"155761","IN","96.8","87.8","12/12/2021"
"155762","IN","89.3","87.5","12/12/2021"
"155764","IN","84.6","69.8","12/12/2021"
"155765","IN","88.2","86.7","12/12/2021"
"155766","IN","92.5","52.8","12/12/2021"
"155767","IN","95.8","82.2","12/12/2021"
"155768","IN","90.0","87.7","12/12/2021"
"155769","IN","92.0","75.9","12/12/2021"
"155770","IN","100.0","91.8","12/12/2021"
"155771","IN","95.1","68.0","12/12/2021"
"155772","IN","84.6","90.1","12/12/2021"
"155773","IN","92.4","85.4","12/12/2021"
"155775","IN","85.5","95.1","12/12/2021"
"155776","IN","93.2","76.8","12/12/2021"
"155777","IN","57.1","73.6","12/12/2021"
"155779","IN","80.3","90.4","12/12/2021"
"155780","IN","65.6","79.4","12/12/2021"
"155782","IN","81.8","81.1","12/12/2021"
"155783","IN","92.3","84.6","12/12/2021"
"155784","IN","87.3","66.4","12/12/2021"
"155785","IN","78.8","83.9","12/12/2021"
"155786","IN","92.2","73.0","12/12/2021"
"155787","IN","92.2","82.2","12/12/2021"
"155788","IN","95.9","87.6","12/12/2021"
"155789","IN","73.1","67.0","12/12/2021"
"155790","IN","79.7","54.7","12/12/2021"
"155791","IN","61.9","77.5","12/12/2021"
"155792","IN","84.5","72.3","12/12/2021"
"155793","IN","90.2","80.6","12/12/2021"
"155794","IN","93.3","61.8","12/12/2021"
"155795","IN","94.6","95.4","12/12/2021"
"155796","IN","83.8","34.7","12/12/2021"
"155797","IN","72.5","76.8","12/12/2021"
"155798","IN","74.1","42.0","12/12/2021"
"155799","IN","66.7","61.2","12/12/2021"
"155800","IN","94.8","79.5","12/12/2021"
"155801","IN","92.7","67.6","12/12/2021"
"155802","IN","100.0","76.9","12/12/2021"
"155803","IN","87.4","67.9","12/12/2021"
"155804","IN","92.9","83.6","12/12/2021"
"155805","IN","87.5","77.0","12/12/2021"
"155806","IN","90.7","85.7","12/12/2021"
"155807","IN","95.6","45.8","12/12/2021"
"155808","IN","58.5","65.2","12/12/2021"
"155809","IN","87.8","61.2","12/12/2021"
"155810","IN","72.7","35.8","12/12/2021"
"155811","IN","79.1","84.9","12/12/2021"
"155812","IN","88.9","86.6","12/12/2021"
"155813","IN","95.0","77.1","12/12/2021"
"155814","IN","93.6","55.7","12/12/2021"
"155815","IN","90.0","86.5","12/12/2021"
"155816","IN","82.7","60.7","12/12/2021"
"155817","IN","100.0","87.7","12/12/2021"
"155818","IN","83.3","87.5","12/12/2021"
"155819","IN","81.0","81.4","12/12/2021"
"155820","IN","100.0","77.4","12/12/2021"
"155821","IN","94.4","75.2","12/12/2021"
"155822","IN","84.9","88.9","12/12/2021"
"155823","IN","92.2","67.9","12/12/2021"
"155824","IN","89.1","79.1","12/12/2021"
"155825","IN","100.0","92.7","12/12/2021"
"155826","IN","54.5","54.5","12/12/2021"
"155827","IN","58.9","39.7","12/12/2021"
"155828","IN","94.1","53.8","12/12/2021"
"155829","IN","81.8","93.3","12/12/2021"
"155830","IN","75.5","86.5","12/12/2021"
"155831","IN","81.9","41.5","12/12/2021"
"155832","IN","81.8","62.5","12/12/2021"
"155833","IN","79.6","74.7","12/12/2021"
"155834","IN","70.5","58.8","12/12/2021"
"155835","IN","Not Available","Not Available","12/12/2021"
"155836","IN","95.1","63.5","12/12/2021"
"155837","IN","76.6","84.9","12/12/2021"
"155838","IN","85.7","90.1","12/12/2021"
"155839","IN","89.5","90.9","12/12/2021"
"155840","IN","76.9","73.5","12/12/2021"
"155841","IN","82.4","83.3","12/12/2021"
"155842","IN","79.5","74.6","12/12/2021"
"155843","IN","77.3","86.1","12/12/2021"
"155844","IN","88.8","75.8","12/12/2021"
"155845","IN","Not Available","Not Available","12/12/2021"
"155846","IN","90.9","44.8","12/12/2021"
"155847","IN","92.3","91.3","12/12/2021"
"155848","IN","87.5","90.9","12/12/2021"
"155849","IN","89.2","88.5","12/12/2021"
"155850","IN","80.3","71.1","12/12/2021"
"155851","IN","83.8","74.7","12/12/2021"
"155852","IN","79.2","85.4","12/12/2021"
"155853","IN","90.4","71.3","12/12/2021"
"155854","IN","79.1","85.1","12/12/2021"
"155855","IN","94.4","64.3","12/12/2021"
"155856","IN","88.6","64.5","12/12/2021"
"155857","IN","75.0","74.5","12/12/2021"
"155858","IN","95.7","81.0","12/12/2021"
"15A011","IN","71.8","65.0","12/12/2021"
"15E064","IN","97.1","84.1","12/12/2021"
"15E247","IN","Not Available","Not Available","12/12/2021"
"15E667","IN","Not Available","Not Available","12/12/2021"
"15E681","IN","100.0","89.0","12/12/2021"
"15E683","IN","89.3","60.6","12/12/2021"
"165006","IA","100.0","91.6","12/12/2021"
"165017","IA","95.1","91.2","12/12/2021"
"165019","IA","100.0","85.2","12/12/2021"
"165030","IA","100.0","98.2","12/12/2021"
"165033","IA","84.1","65.5","12/12/2021"
"165034","IA","92.0","68.0","12/12/2021"
"165049","IA","97.9","75.0","12/12/2021"
"165072","IA","98.2","83.7","12/12/2021"
"165081","IA","100.0","99.4","12/12/2021"
"165082","IA","96.9","79.5","12/12/2021"
"165104","IA","93.8","76.6","12/12/2021"
"165110","IA","91.5","56.6","12/12/2021"
"165118","IA","100.0","93.5","12/12/2021"
"165135","IA","100.0","74.2","12/12/2021"
"165145","IA","100.0","75.5","12/12/2021"
"165146","IA","100.0","100.0","12/12/2021"
"165147","IA","96.7","65.9","12/12/2021"
"165151","IA","93.8","46.4","12/12/2021"
"165152","IA","96.4","81.1","12/12/2021"
"165155","IA","93.2","85.0","12/12/2021"
"165156","IA","94.9","65.8","12/12/2021"
"165157","IA","92.1","56.6","12/12/2021"
"165158","IA","88.9","75.0","12/12/2021"
"165161","IA","89.1","49.3","12/12/2021"
"165162","IA","94.8","69.7","12/12/2021"
"165163","IA","66.7","89.7","12/12/2021"
"165165","IA","79.7","48.9","12/12/2021"
"165167","IA","95.9","84.0","12/12/2021"
"165169","IA","85.7","76.3","12/12/2021"
"165170","IA","Not Available","64.1","12/12/2021"
"165171","IA","90.2","91.8","12/12/2021"
"165172","IA","95.9","75.8","12/12/2021"
"165173","IA","77.1","68.0","12/12/2021"
"165174","IA","95.7","64.2","12/12/2021"
"165175","IA","Not Available","Not Available","12/12/2021"
"165176","IA","91.3","75.0","12/12/2021"
"165177","IA","93.4","82.5","12/12/2021"
"165178","IA","98.5","89.6","12/12/2021"
"165179","IA","90.0","81.5","12/12/2021"
"165180","IA","92.0","60.5","12/12/2021"
"165181","IA","86.7","86.6","12/12/2021"
"165183","IA","85.7","79.5","12/12/2021"
"165185","IA","83.3","72.1","12/12/2021"
"165186","IA","92.3","86.3","12/12/2021"
"165187","IA","95.2","77.5","12/12/2021"
"165188","IA","93.5","83.9","12/12/2021"
"165189","IA","100.0","82.2","12/12/2021"
"165190","IA","97.2","74.0","12/12/2021"
"165191","IA","100.0","94.1","12/12/2021"
"165192","IA","100.0","84.6","12/12/2021"
"165193","IA","90.5","68.1","12/12/2021"
"165196","IA","100.0","79.4","12/12/2021"
"165197","IA","88.9","67.7","12/12/2021"
"165198","IA","89.5","79.6","12/12/2021"
"165199","IA","100.0","64.0","12/12/2021"
"165202","IA","98.0","68.6","12/12/2021"
"165203","IA","90.9","60.0","12/12/2021"
"165204","IA","94.8","61.5","12/12/2021"
"165205","IA","92.6","69.2","12/12/2021"
"165206","IA","89.5","65.7","12/12/2021"
"165207","IA","94.0","83.3","12/12/2021"
"165208","IA","90.7","90.2","12/12/2021"
"165209","IA","94.9","93.8","12/12/2021"
"165210","IA","97.4","75.0","12/12/2021"
"165211","IA","96.0","89.0","12/12/2021"
"165213","IA","100.0","92.7","12/12/2021"
"165214","IA","93.8","90.8","12/12/2021"
"165215","IA","97.1","56.0","12/12/2021"
"165217","IA","100.0","95.2","12/12/2021"
"165218","IA","89.3","75.9","12/12/2021"
"165219","IA","100.0","78.2","12/12/2021"
"165220","IA","95.2","75.0","12/12/2021"
"165222","IA","88.1","60.4","12/12/2021"
"165223","IA","79.2","56.5","12/12/2021"
"165224","IA","92.9","60.7","12/12/2021"
"165225","IA","81.8","46.1","12/12/2021"
"165226","IA","86.5","51.2","12/12/2021"
"165227","IA","96.8","75.0","12/12/2021"
"165228","IA","96.9","90.2","12/12/2021"
"165230","IA","82.9","73.5","12/12/2021"
"165231","IA","100.0","87.1","12/12/2021"
"165232","IA","85.4","52.9","12/12/2021"
"165233","IA","88.6","76.6","12/12/2021"
"165234","IA","95.6","72.2","12/12/2021"
"165235","IA","93.8","75.0","12/12/2021"
"165236","IA","100.0","94.3","12/12/2021"
"165237","IA","92.9","93.3","12/12/2021"
"165238","IA","96.6","69.4","12/12/2021"
"165239","IA","97.3","92.2","12/12/2021"
"165240","IA","91.1","81.3","12/12/2021"
"165241","IA","65.0","67.6","12/12/2021"
"165243","IA","100.0","91.4","12/12/2021"
"165245","IA","95.7","65.4","12/12/2021"
"165247","IA","100.0","91.9","12/12/2021"
"165248","IA","52.9","45.2","12/12/2021"
"165249","IA","100.0","90.0","12/12/2021"
"165251","IA","86.5","53.6","12/12/2021"
"165252","IA","92.1","68.1","12/12/2021"
"165253","IA","81.8","77.8","12/12/2021"
"165254","IA","100.0","88.5","12/12/2021"
"165255","IA","91.2","70.4","12/12/2021"
"165256","IA","90.0","67.3","12/12/2021"
"165257","IA","84.8","62.3","12/12/2021"
"165259","IA","94.1","68.3","12/12/2021"
"165260","IA","90.7","60.0","12/12/2021"
"165261","IA","100.0","74.4","12/12/2021"
"165262","IA","96.4","79.3","12/12/2021"
"165263","IA","100.0","80.4","12/12/2021"
"165264","IA","90.9","59.1","12/12/2021"
"165265","IA","Not Available","Not Available","12/12/2021"
"165266","IA","98.1","75.2","12/12/2021"
"165267","IA","95.1","71.3","12/12/2021"
"165268","IA","73.7","67.0","12/12/2021"
"165269","IA","98.4","72.0","12/12/2021"
"165270","IA","95.7","65.7","12/12/2021"
"165271","IA","94.6","62.7","12/12/2021"
"165272","IA","82.4","88.5","12/12/2021"
"165273","IA","93.5","75.3","12/12/2021"
"165274","IA","94.4","39.3","12/12/2021"
"165275","IA","96.0","81.4","12/12/2021"
"165278","IA","95.9","100.0","12/12/2021"
"165279","IA","91.8","73.3","12/12/2021"
"165280","IA","88.4","61.2","12/12/2021"
"165281","IA","90.0","74.2","12/12/2021"
"165282","IA","Not Available","Not Available","12/12/2021"
"165283","IA","84.8","37.0","12/12/2021"
"165284","IA","100.0","55.6","12/12/2021"
"165285","IA","87.5","68.8","12/12/2021"
"165286","IA","100.0","84.8","12/12/2021"
"165287","IA","100.0","84.8","12/12/2021"
"165288","IA","77.9","52.5","12/12/2021"
"165290","IA","96.0","98.7","12/12/2021"
"165291","IA","96.9","82.5","12/12/2021"
"165292","IA","96.0","73.9","12/12/2021"
"165293","IA","94.4","75.9","12/12/2021"
"165294","IA","90.9","68.8","12/12/2021"
"165295","IA","95.5","66.7","12/12/2021"
"165296","IA","100.0","80.8","12/12/2021"
"165297","IA","97.4","60.3","12/12/2021"
"165298","IA","88.2","53.1","12/12/2021"
"165299","IA","Not Available","Not Available","12/12/2021"
"165300","IA","95.5","56.8","12/12/2021"
"165301","IA","100.0","67.3","12/12/2021"
"165302","IA","96.2","75.3","12/12/2021"
"165303","IA","90.9","88.5","12/12/2021"
"165304","IA","84.2","74.1","12/12/2021"
"165305","IA","84.2","57.9","12/12/2021"
"165306","IA","84.8","78.0","12/12/2021"
"165307","IA","88.6","59.8","12/12/2021"
"165308","IA","88.6","69.2","12/12/2021"
"165309","IA","97.4","90.9","12/12/2021"
"165310","IA","96.3","73.2","12/12/2021"
"165311","IA","95.8","81.3","12/12/2021"
"165312","IA","93.0","58.0","12/12/2021"
"165313","IA","97.8","Not Available","12/12/2021"
"165314","IA","88.9","77.8","12/12/2021"
"165316","IA","97.8","71.3","12/12/2021"
"165318","IA","100.0","86.4","12/12/2021"
"165320","IA","100.0","94.6","12/12/2021"
"165322","IA","95.7","88.9","12/12/2021"
"165323","IA","85.7","61.2","12/12/2021"
"165324","IA","97.8","84.7","12/12/2021"
"165325","IA","97.9","81.7","12/12/2021"
"165326","IA","95.7","76.4","12/12/2021"
